POI_NAME,POI_TYPE
Cruise America RV Rental,Retail
Youth Over Us,Office
Omaha Steaks,Retail
Columbus Public Schools Distribution Center,Industrial
Four Seasons Nail Spa,Retail
Innis Elementary School,Education
OSU Varsity Tennis Center,Education
Performance Automotive,Retail
Rusty Bucket,Retail
American Freight Furniture,Retail
Unity Baptist Church,Public Places
PNC Bank,Office
Andrew Klein,Office
Overflow Furnishings,Retail
Baer Wheels,Retail
D'Amico Petroleum,Industrial
Busch Commerce Center,Office
Resource Staffing,Retail
Giant Eagle,Retail
Veritiv Express,Office
Association Development Disabled,Office
B & G Motors,Retail
Credit Union of Ohio,Office
Key Bank,Office
Pressure Connections Corp,Retail
Metropolitan Holdings,Office
Residence Inn Columbus Easton,Retail
Hilliard,Industrial
Scioto Community Skilled Nursing,Group Quarters
Midas,Retail
Lev's Pawn Shop,Retail
Vision Auto Detailing,Retail
America's Best,Medical
Shell,Retail
Mozart's Bakery & Cafe,Retail
Fowler Engines,Retail
Apple,Retail
Haydar's Auto Repair,Retail
Northland High School,Education
Ronald Clowson DDS,Medical
Flowline,Retail
Chez Rama Restaurant,Retail
McDonald's,Retail
Reliable Mechanical Services,Retail
Allstate Insurance,Office
Epworth United Methodist Church,Public Places
The Red Brick Tap & Grill,Retail
Best Buy,Retail
Sprint,Retail
Disability Rights Ohio,Office
Church Of Christ,Public Places
Hair Artists,Retail
Applied Industrial Technologies,Industrial
Shelly Materials,Retail
Salon Lofts,Retail
Clean Innovations,Retail
11,Transportation
Central Nails,Retail
A&K Drive Thru,Retail
Mattress Firm,Retail
Salvation Army,Office
Homeport,Office
The Buckeye Corner,Retail
Babylon Market & Bakery,Retail
Jason's Deli,Retail
Premium Medical Care,Medical
Patio Room Factory,Retail
Rally's,Retail
Glow Nail Bar,Retail
Sam's Club,Retail
Fiesta Mariachi,Retail
St Anthony Parish School,Education
BP,Retail
Pat's Barber & Styling,Retail
AutoZone,Retail
High Stop Food Market,Retail
Borden,Office
Columbus Fire Station 34,Emergency Response
Beaton Gallery,Retail
Edart Pharmacy,Retail
Gokul Cafe,Retail
Gerlach Graduate Programs Building,Education
Mr Tire,Retail
CPD Storage,Emergency Response
ODOT Equipment Yard,Government
Verizon Wireless,Retail
Claddaugh Irish Pub,Retail
Weller Truck Parts,Retail
Ab Air Compressor Systems,Retail
Plaza Mexican Grill & Bar,Retail
China Phoenix,Retail
USA Martial Arts Southwest,Retail
Drury Inn & Suites,Retail
Scioto Boat Club,Public Places
Ruscilli Construction,Office
Relson Gracie Jiu,Retail
Reilly Chiropractic Health & Fitness,Medical
Uncle Sam's Pawn Shop,Retail
Wa Wa Cleaners,Retail
Clarfield Elementary School,Education
IHOP,Retail
Murphy USA Gas Station,Retail
Harr's Forklift Service,Retail
934 Gallery,Retail
Cajun Express,Retail
Dollar Tree,Retail
US Post Office,Government
Edwards Acupuncture,Medical
KFC,Retail
H G Spangler Jr DDS,Medical
Daulton E Patrick DDS,Medical
Edward Jones ,Retail
Xclusive Staffing,Retail
Ohio Electric Motor Services,Retail
The Roman Catholic Diocese of Columbus,Public Places
D P Miller Trucking,Transportation
Insomnia Cookies,Retail
Bikram Hot Yoga Columbus,Retail
BP,Retail
Ohio Attorney General,Government
Juniper Network,Office
Mojo Sports Gear,Retail
Redbox,Retail
Matrix Psychological Services,Medical
ALCOLOCK Ignition Interlock,Retail
Bratton Corporation,Office
Shafer Auto Group,Retail
Spay Neuter Clinic,Medical
Roger Dales Auto Sales,Retail
Eureka Market,Retail
COPS Complete Ohio Process Services,Office
Columbus Electric Service,Retail
Elli Nail Spa,Retail
HD Supply Waterworks,Retail
Levi's 4 Floors,Retail
OhioHealth Urgent Care,Medical
Ohio Health Care Physicians in Bexley,Medical
Brothers Bar & Grill,Retail
Wings Chinese,Retail
Dr. Scot Chiropractic,Medical
KFC,Retail
Redeemer Lutheran Church,Public Places
FCI Academy Kindergarten Village,Education
Ange's Pizza,Retail
Golden Chopsticks,Retail
Maeder,Retail
CNG Trans Fuel Station #!,Retail
Independent Motorsports,Retail
Panera Bread,Retail
J. E. Wiggins & Co. Income Tax Service,Retail
Lewis & Michael,Retail
Accu Cash Pawn Shop,Retail
CPI Marketing,Retail
Marathon,Retail
Dakota's Tavern,Retail
Budget Inn Columbus West,Retail
R & S Auto Sales,Retail
Barber Shop,Retail
Bon Vie Bistro,Retail
Old Bag of Nails,Retail
Just Like Grandma's Child Care,Education
Bishop Ready High School,Education
Ohio Strength Home of Crossfit,Retail
CVS,Retail
Church Of The Lamb Of God,Public Places
Boost Mobile,Retail
Ohio Bell Telephone Company,Office
Buckeye Tire Company,Retail
Columbus Area Integrated Health Services,Medical
Epsilon Psi Epsilon,Group Quarters
United Dairy Farmers,Retail
Roadmaster Drivers School of Ohio,Education
Hair Concept,Retail
Wendy's,Retail
Legends Car Wash,Retail
Speer Mechanical,Office
Academy One,Education
Ethel's Bar,Retail
Newco Insurance Agency,Retail
Once Ridden Bikes,Retail
Travelers' Rest Baptist Church,Public Places
Greater Ohio Orthopedic Surgeons,Medical
Audiowright Shop,Retail
Accelerate Fit Life,Retail
Allstate Insurance,Office
Subway,Retail
Zach Applleby Equitable Mortgage,Retail
The Vapor Lab,Retail
Hunan King,Retail
The King Arts Complex,Public Places
Capitol Square Printing,Retail
Facility Design,Office
Bamboo Thai Kitchen,Retail
Deck Escapes Staining Company,Retail
Hughes Psychological,Medical
Gardner,Office
Car Max,Retail
Maverick Carry out,Retail
CPO Management,Office
Always Payday,Retail
Academia,Education
US Reclamation Bureau,Office
Residence Inn Columbus,Retail
L V Engine Performance & Diagnostics,Retail
Meijer,Retail
FUNAI Corporation,Retail
Torrid,Retail
CVS,Retail
DaVita Columbus West Dialysis,Medical
Arcade Super Awesome,Retail
Dynalectric Ohio,Office
Staples,Retail
Faith Life Family Church,Public Places
Collision on Wheels,Retail
Nelson Park Care Center,Group Quarters
Mr Tire,Retail
Motel 6,Retail
Copious,Retail
Columbus Hi,Retail
Bangkok Grocery & Restaurant,Retail
Turbo Transport Group,Transportation
Ninis Barber Shop,Retail
Bob Evans,Retail
Hair Factory,Retail
Crimson Cup Coffee,Retail
Mid State Auto Parts Sales & Service,Retail
Bon Aire Restaurant & Lounge,Retail
Unity Church of Christianity,Public Places
Knights Inn Downtown,Retail
Travel Leaders,Office
Earth Fare,Retail
Nothing Bundt Cakes,Retail
GNC,Retail
J. Ashburn Jr. Youth Center,Public Places
The Columbus Dispatch,Office
MY Company Funding,Office
Help Power Washing,Retail
German Village Inn,Retail
WhiteWater West Industries,Office
Aveda Square One Salon & Spa,Retail
Planet Fitness,Retail
Century Link,Office
Nongs Hunan Express,Retail
The Center ,Office
Robert S. Howley Co,Retail
Speedway,Retail
Arena Crossing Lot,Transportation
Montecristo House of Cigar,Retail
Knotty Pine Nightclub,Retail
Down Memory Lane,Retail
Presidential Coach,Retail
Milhem Market,Retail
The TOP Steak House,Retail
Steak 'n Shake,Retail
Ideal Image,Retail
Eurowerks Garage,Retail
2 Brothers Automotive,Retail
Local Bar Short North,Retail
Alpha Chi Omega,Group Quarters
CheckSmart,Retail
Ichiban Japanese Steak House,Retail
Babbage Simmel Training Facilities,Office
Makowski Law Offices,Office
Long & 20th Carryout,Retail
Galleria Evangelia,Retail
Subway,Retail
Franklin County Corrections Center,Government
Michaels,Retail
SUN Behavioral Health Psychiatric Hospital,Medical
Marathon,Retail
Renewal by Andersen,Retail
GetGo,Retail
Westhill Church of Christ,Public Places
Car Wash,Retail
Inspired PIeces Design,Retail
Columbus Carton Co,Retail
Franklin County Dog Shelter & Adoption Center,Government
RiverSouth Garage,Transportation
Rejuvenation Spa,Retail
Sax Detail Center,Retail
Ecole Kenwood French Immersion School,Education
C.R. O'Neil & Company,Office
New Jerusalem Deliverance Church,Public Places
D S Waters of America,Retail
Prestige Eurocars,Retail
Mediterranean Foods Imports,Retail
Ink Well Commercial Printer,Retail
Home Town Buffet,Retail
E.T. Paul Co Tires,Retail
Round Hill Mattress & Furniture,Retail
Felbry College,Education
Tom Thumb Hobbies,Retail
Big Lots,Retail
Amtekco Industries,Office
Physician's Building,Medical
Zacatecas,Retail
Chi Omega Sorority,Group Quarters
McCombe Body Shop,Retail
Resolute Athletic Complex,Public Places
Atelier Salon,Retail
State Farm:,Office
Huntington Bank,Office
Genji Japanese Steakhouse,Retail
Outfit Good,Office
Super Food Mart,Retail
A Touch of Glass & Mirror,Retail
Asian Buffet,Retail
LA Fitness,Retail
Express Packaging,Industrial
Circle K,Retail
Realm Logistics,Office
Engage Healthcare Business Services,Medical
Purdy Co,Industrial
Northend Appliances & Repair,Retail
The Rehabilitation and Health Center of Gahanna,Medical
Dairy Land Express,Retail
Pearls of Wisdom,Retail
First English Lutheran Church,Public Places
New Age Tattoo,Retail
Fire & Ice Heating and Air Conditioning,Retail
Image Grocery,Retail
Modern Nails,Retail
Sprint,Retail
Volunteers of America Thrift Store,Retail
Cochrans Pharmacy,Retail
Dr. John A. Ritchie DDS,Medical
Guru Nanak Religious Society Sikh Temple,Public Places
Bellagios,Retail
Hamilton Commerce Center,Office
Advance Auto Parts,Retail
Eliezer Church of Christ,Public Places
Northwest Law Office Building,Office
Fun,Retail
Papa John's Pizza,Retail
Hyatt Regency Columbus,Retail
Parent's Choice,Education
Universal Tax Service,Retail
Flag Center Carryout,Retail
Brookdale Lakeview Crossing Assisted Living,Group Quarters
Best Western Suites,Retail
Henderson Contractors Corp,Office
A Better Choice Childcare,Education
Brighton Collectibles,Retail
Linden,Education
Solid Surface Design,Retail
H & R Block,Retail
Nationwide Garage,Transportation
Artisan Dance Studio,Retail
Occupational & Preventive Medicine,Medical
GOOD Home Maintenance,Retail
Americuts Barber Studio,Retail
OSU Literacy Collaborative Training Center,Education
8,Transportation
Executive Tailoring,Retail
Village Idiot,Retail
Franklin County Municipal Court,Government
Capital Coin & Jewelry,Retail
Contact US Communications,Office
J R Body Shop,Retail
Aspen Dental,Medical
OSI Staffing Services,Retail
Piece of Chicago Carryout,Retail
Darby Woods Elementary School,Education
Ned Merkle & Co Realtors,Office
KinderCare,Education
Metro PCS,Retail
Wenger Temperature Control,Retail
US Post Office,Government
PNC Bank,Office
Psychology Building,Education
Columbus Fire Station 26,Emergency Response
Old Navy,Retail
New Bubble Tea Store,Retail
Foot & Ankle Group,Medical
Courtyard Columbus West,Retail
Arlington Construction,Office
Federal Lending,Retail
Alcoholic Anonymous,Office
Drinko Hall,Education
Joyce Hudson Drive Thru,Retail
Kroger,Retail
Ohio Suboxone Clinic 5,Medical
Allen Press Printers,Retail
Dollar General,Retail
Wilson Road Drive,Retail
Panera Bread,Retail
Raisin Rack Natural Food Market,Retail
Voda Hair Design,Retail
Four S Club,Retail
Fleming's Referee & Sport,Retail
Morrisonsign,Office
Tadka Indian Restaurant,Retail
Ace of Cups,Retail
Universal Gymnasts,Retail
Agathos Church,Public Places
Enlighten Hair Studio,Retail
Ohio Department of Natural Resources,Government
The UPS Store,Retail
Vrable Healthcare Company,Medical
Wolfe's Ridge Brewing Company,Retail
The Barrington School,Education
Lebbie's Auto Sales,Retail
Piada Italian Street Food,Retail
The Columbus Foundation,Office
Knowlton Hall,Education
T.J. Maxx,Retail
Middle West Spirits,Retail
The Tuckerman Home Group,Retail
German Village Dental Group,Medical
Scriptel Corporation,Office
Kroger Gas,Retail
35 Auto Group,Retail
Franklin County Corrections Medical Center,Medical
Oak Street Meats & Seafood,Retail
Hair Dimensions,Retail
Columbus Housing Partnership,Office
Chipotle Mexican Grill,Retail
Clinton Locks Locksmith,Retail
T & M Perfumes,Retail
TuTu's Beauty & Hair Salon,Retail
B & R Reinforcing,Office
Homage,Retail
Comfort Care Family Center,Medical
Professionals Guild of Ohio,Office
New York Fashions,Retail
Highfield MRI,Medical
Mount Zion International,Public Places
Georgesville WIC Clinic,Medical
Dollar Tree,Retail
Columbus Fire Station 10,Emergency Response
Spas 4U,Retail
Jack's Pets,Retail
Roto,Retail
Arps Hall,Education
Columbus Police Substation 9,Emergency Response
The Juniper School,Education
JAM Fix Auto Repair,Retail
Huntington Bank,Office
Capital Collisions Center,Retail
Columbus Architectural Salvage,Office
Ko Sheng Chinese Restaurant,Retail
Columbus Scuba,Retail
Happy Daycare,Education
BP,Retail
Ballet Met,Office
Centenary United Methodist Church,Public Places
Dodd Hall,Education
Calhoun Plumbing,Retail
Vascular Surgeons,Medical
Beucler Company CPA,Office
Stauf's Coffee,Retail
Nail Spa,Retail
Anthony Gurvis Law Office,Office
Columbus Civil Service Commission,Government
Medina Market & Restaurant,Retail
Bedrooms First,Retail
Hashi Restaurant,Retail
Eastern Wok,Retail
Family Dentistry,Medical
Lotus Grill,Retail
AVI Food Systems,Office
VLD Grading,Industrial
Kroger Gas,Retail
PNC Bank,Office
Key,Retail
Capitol Tunneling,Office
Global Meats,Retail
P J's Drive Thru,Retail
Broadband Express,Retail
Pirate's Booty,Retail
G Force Auto Group,Retail
Ricks Auto Service,Retail
Chile Verde,Retail
Central Power Systems,Office
Brew,Retail
WSA Studio,Office
Yoga Six Columbus,Retail
Dummen Orange,Retail
Maryland Swimming,Public Places
Moe's Southwest Grill,Retail
Westland Driving School,Retail
Alex Foreign & Domestic Auto,Retail
Primrose School of Upper Arlington,Education
Foot Doctor,Medical
Test Acct 10,Office
J. Crew,Retail
Mort's Place,Retail
Panera Bread,Retail
Ollie's Bargain Outlet,Retail
Capital City Products,Retail
Lighthouse Church In Columbus,Public Places
Party City,Retail
Extra Space Storage,Retail
O'Charley's,Retail
Long John Silvers,Retail
Donatos Pizza,Retail
Indian Oven,Retail
Mike Moses Attorney,Office
Foley Gallery,Retail
Spring Tires,Retail
Sherwin,Retail
FedEx Office Print & Ship Center,Retail
Five Guys,Retail
White Barn,Retail
D J Corner Pub,Retail
New Apostolic Church,Public Places
LA Fitness,Retail
Kiner Auto Group,Retail
Tim Hortons,Retail
NLounge,Retail
The Eagle Short North,Retail
Verizon Wireless,Retail
Boulevard CarryOut,Retail
Penn Station,Retail
Columbus Auto Parts,Retail
Steele Ave Market,Retail
Sherwin,Retail
Columbus Fire Station 23,Emergency Response
Salvation Army,Office
Francesca Duncan,Medical
Grey Jones & Associates,Office
Western Union,Retail
Yazki North America,Office
ATM Education First,Education
Short North Tavern,Retail
Cap & Associates,Retail
Ohio Avenue Youth Center,Public Places
Abundant Life Tabernacle,Public Places
Atlapac,Industrial
#1 Shipping & Copies,Retail
Savor Taste Matters,Retail
Krieger Ford,Retail
Apex Aircraft Detailing,Retail
Westgate Park Shelterhouse,Public Places
Big Nickle Bar,Retail
Happy Go Lucky Her,Retail
Pinnell HealthCare,Medical
Sophisticated Systems,Office
System of Strength,Retail
Days Inn,Retail
McCormick & Schmick's,Retail
Pony Powersports,Retail
De Bellis Painting Services,Retail
Dublin Cleaners,Retail
Jordan Food Mart,Retail
Browne Group Architects,Office
Farabaugh Chiropractic Office,Medical
R & S Tire and Truck Service,Retail
Cap City Direct,Office
Hoge Memorial Presbyterian Church,Public Places
Auto Boutique Collision,Retail
Jimmy John's,Retail
Jazzercise,Retail
Rambling House Soda,Retail
Faslube,Retail
Grapevine Restaurant,Retail
Glenwood United Methodist Church,Public Places
Capital Transportation,Transportation
Century Body,Retail
Hunters Ridge Apartments,Office
AmeriStop Food Mart,Retail
Verizon Wireless,Retail
Hair Masters,Retail
OSU Sisson Hall,Education
Lakeshore Learning Store,Retail
Mine Body Sole Boutique,Retail
Engage Higher Degree Fitness,Retail
Techused Asset Recovery/Recycling,Office
Hyderabad House Indian Restaurant,Retail
Third Ave Auto Avenue,Retail
Paradise Garage Bicycle Shop,Retail
Bubble Tea,Retail
Righteous Styles Barber,Retail
Avondale United Methodist Church,Public Places
Sow's Hair Braiding & Boutique,Retail
Lamit Industries,Industrial
Boost Mobile,Retail
Shoe Show,Retail
Jeni's Splendid Ice Creams,Retail
Jet's Pizza,Retail
Government Liquidation,Industrial
Sally Beauty Supply,Retail
DNO,Retail
ODOT Special Builder Permit Section,Government
Kitsmiller Motors,Retail
Port Columbus/Rural Metro Fire Department,Emergency Response
Diamond Exchange,Retail
Genpak,Industrial
Arthur Murray Dance Studio,Retail
PNC Bank,Office
AAA Car Care Plus,Retail
BMI Federal Credit Union,Office
Walgreens,Retail
Titan Power Solutions,Office
Michael J Leahy & Associates,Medical
White Horse Vapor,Retail
KinderCare,Education
Radical Teez,Retail
Scioto Landscapng,Retail
Trainers Choice Pet Services,Retail
Citigroup,Office
McClellan's Pub,Retail
Palm Beach Tan,Retail
A&A Luxury Auto Sales,Retail
AutoZone,Retail
First Merchants Bank,Office
Evolved Vapors Electronic Cigarettes,Retail
The Guild House,Retail
Bob Evans,Retail
COTA Near East Transit Authority,Transportation
Giant Eagle,Retail
Newport Music Hall,Public Places
Fish & Chicken Inn,Retail
Sbc Advertising,Office
VaporFi,Retail
De Store,Retail
Subway,Retail
Lot 035AB,Transportation
Wholly Craft Gift Shop,Retail
Subway,Retail
The Community Exchange,Retail
A&A New & Used Tires & Rims,Retail
PNC Bank,Office
Tai Chi Massage,Retail
McDonald's,Retail
Whatsizeneed Sneaker Boutique,Retail
Sunoco,Retail
Tobacco For Less,Retail
Advanced Impounding & Recovery Towing,Retail
Curio At Harvest,Retail
Mt Carmel Health Physician's Building,Medical
Steak 'n Shake,Retail
Saptarangi Market,Retail
Aprons n Easels,Retail
Ohio Housing Finance Agency,Office
VRNDA Spa & Skin Care,Retail
31 Fifty,Office
LoanMax Title Loans,Retail
Benchmark Enviromental Labs,Office
Jubba Value Center,Retail
Columbus Realltors,Office
Bright Future Learning Academy,Education
Mint Cafe,Retail
Phantom Technical Services,Retail
United Dairy Farmers,Retail
Free Start Karate,Retail
Sullivant Auto Repair,Retail
The Bishop Griffin Center,Public Places
The Waterworks,Industrial
Kidney Center Columbus South,Medical
Synergi Salon,Retail
Premiums & Promotions,Office
Shell,Retail
Beck & Orr,Retail
Courtright Market,Retail
Shell,Retail
Construction Systems,Retail
Power Distributors,Industrial
Siam Orchid,Retail
TNT Equipment Co,Retail
Lost Weekend Records,Retail
Fifth Third Bank,Office
Devonshire Alternative Elementary School,Education
Renies Lounge,Retail
Roosters,Retail
Grolls Furniture of Easton,Retail
Floodwall Entry Gate 2668,Industrial
Freedom Utilities,Retail
Columbus Laser Spa,Medical
Abercrombie & Fitch,Retail
The Fred D Pfening Company,Office
Anointed Church Ministry,Public Places
No. 1 Chinese Restaurant,Retail
Redeemed Christian Church of God,Public Places
University Hall,Education
Green Auto Parts & Salvage,Retail
Jimmy John's,Retail
Able Pallet Mfg & Repair,Office
Landon Vault,Retail
Nail Artist,Retail
All A Cart Manufacturing,Industrial
Family Care Services,Office
CarMax,Retail
hhgregg,Retail
The UPS Store,Retail
Lev's Pawn Shop,Retail
Foot Locker,Retail
Oak Creek Veterinary Hospital,Medical
Little Caesars,Retail
Q Nails,Retail
VNC Bearing,Industrial
Ometek,Retail
Club Columbus,Retail
Abeto Tailors,Retail
United Horticultural Supply,Industrial
Ray's Market,Retail
Harbor Freight Tools,Retail
Metro PCS,Retail
RJ's Bar and Grill,Retail
Stone Center,Retail
Heaven Sent Children's Academy,Education
Advanced Retail Management,Retail
Golfsmith,Retail
Ross Cleaners,Retail
Tom Hatem Automotive Repairs,Retail
Columbus Chiropractic Center,Medical
FIesta Jalisco,Retail
Capitol Drywall Supply,Industrial
Columbus Garage Floor Coating,Retail
Pizza House,Retail
Ward Trucking Corp,Transportation
La Quinta Inn & Suites Columbus Airport,Retail
GetGo,Retail
Dairy Queen,Retail
FUSIAN,Retail
Hamptons On King,Retail
Hope Christian Assembly,Public Places
Gospel Outlet,Public Places
Check Into Cash,Retail
Tussing Road KinderCare,Education
JC Penney,Retail
Orkin Pest & Termite Control,Retail
SITECH Ohio,Office
GNC,Retail
Firefly Play Cafe,Retail
Horizon Freight Systems,Transportation
McGraw,Office
Architectural Alliance,Office
The Car Doctors,Retail
Envy Skin Gallery,Retail
Fireside Florist,Retail
The Bradley Company,Office
G,Retail
Ohio Operating Engineers,Office
Spinners,Retail
Friendship Baptist Church,Public Places
Canel Roofing & Construction,Retail
Free People,Retail
Arby's,Retail
CPR Cell Phone Repair,Retail
Hair Raizers,Retail
Cub Shrub,Retail
The Spa School,Education
FCI Academy,Education
Aspen Ski & Board,Retail
Lucas Financial Services,Office
Office Supply Store,Retail
Allstate Insurance,Office
Advance Auto Parts,Retail
Emi Pet Salon & Boutique,Retail
Coloract Graphics,Retail
Mt Pisgah Baptist Church,Public Places
Fairwood Alternative Elementary School,Education
Mai's Beauty Salon,Retail
Home Craft Remodeling,Office
Colony Cats Adoption Center,Retail
Manpower,Retail
"John T Marshall, D.M.D.",Medical
Universal Detailing,Retail
Dale Cleaners,Retail
Taco Bell,Retail
Boost Mobile,Retail
Ebner Properties,Office
Marcos Pizza,Retail
Century Resources,Retail
Bethany Baptist Church,Public Places
Destiny's Auto Sales,Retail
Upper Room Church of God,Public Places
Body Mastering Training & Fitness,Retail
Royal Paper Stock,Industrial
Cherry's House of Style and Barber,Retail
Greencrest Marketing,Retail
Aab India,Retail
American WeatherTechs,Retail
Supreme Lending Services,Retail
Dollar General,Retail
Family Focus Learning Center,Education
Peabody Landscape Group,Retail
Wash Land,Retail
Mathematics Building,Education
US Cargo & Courier Service,Retail
Ketchum & Walton Company,Office
Raising Cane's,Retail
Planet Fitness,Retail
Accurate Manufacturing,Industrial
Holy Family Soup Kitchen and Outreach,Public Places
City Barbeque,Retail
US Post Office,Government
Bob Evans,Retail
All Pack,Industrial
First Merchants Bank,Office
Divas Touch Boutique,Retail
TitleMax Title Loans,Retail
Michaels,Retail
Quad Graphics,Retail
Ferguson,Retail
Kaman Industrial Technologies,Industrial
Flowerama,Retail
Hammond Sewards & Williams Attorney,Office
Tobacco Discounters,Retail
Columbus Kidney Care,Medical
Cross City Church,Public Places
Mattress Mart,Retail
Cable Technology.,Office
Mill Run Vision Center,Medical
Success Kidz North,Education
Golden Crowns Dental Lab,Medical
Davis Group of Ohio,Office
Allstate Insurance,Office
Buckeye Muffler & Brake Shops,Retail
MP Dory Co,Retail
Simply Self Storage,Retail
Millbrook Nursery School & Kindergarten,Education
Streetwerkz,Office
Body Wisdom Healing Group,Retail
Alexander's Busy Bee Nursery,Education
Quick Deal Auto Shop,Retail
Recreation and Physical Activity Center,Education
Car Wash,Retail
Capital Procrement,Office
Tyrezone Used Tire,Retail
Iglesia Nuevos Principios,Public Places
Walgreens,Retail
Defining Skin Tattoo,Retail
Berwick Alternative School,Education
Faith Community Church,Public Places
Carmen's Vacuum Sales and Service,Retail
Flannagans Dublin,Retail
Eastmoor Academy,Education
Walker's Child Care,Education
Kroger Gas,Retail
NAPA,Retail
Ohio Foam Corporation,Industrial
Family Dollar,Retail
The Ivory Room,Retail
Mr Hero,Retail
Spirit Avionics,Retail
Ethiopian Orthodox Tewanedo Church,Public Places
Key Bank,Office
ChildCare Wonderland,Education
Homestead Lounge,Retail
McNaughton McKay Electric,Retail
Modlich Stoneworks,Retail
SealMaster Able Asphalt Sealing,Retail
Jasper Engines & Transmissions,Office
FedEx Office Print & Ship Center,Retail
Super Seafood Buffet,Retail
Composite Trade Printing,Retail
Joy Beauty Store & Salon,Retail
Vista Packaging & Logistics,Industrial
Meijer,Retail
Forest Park Veterinary Clinic,Medical
16,Retail
AT&T,Retail
Wendy's,Retail
Blackwell Inn,Retail
CAR GO Self Storage,Retail
Quest Conference Center,Public Places
Studio Elements Salon & Spa,Retail
Great Deals Used & New Tires,Retail
Family Dollar,Retail
Ethyl & Tank,Retail
Exxon,Retail
Club 185,Retail
DIY Car Wash,Retail
Down To Earth Automotive,Retail
